Registration Number,Name,CGPA,Projects,Internships,Courses,No_of_Certs,Certifications,LeetCode Score,Placement Status,Company Portfolio,10th Grade Percentage,12th Grade Percentage,CTC,IQ,Gender,Skills,Skill Score
20ECE0271,Arthur Wu,8.14,3,"['Software Engineer', 'Cloud Engineer', 'ML/AI']",['ML Engineer'],1,0,398,Placed,DREAM,96,87,50 LPA,116,Male,"['Database Management', 'C++', 'Machine Learning']",1
20ECE0119,Kimberly Briggs,8.92,4,['System Design'],['CSC Backend'],1,7,476,Not Placed,None,88,60,90 LPA,133,Female,['Python'],4
20CSE0232,Sara Sweeney,8.01,9,"['ML Engineer', 'Robotics']",['System Design'],1,1,244,Placed,REGULAR,88,85,50 LPA,110,Female,"['Python', 'C++']",2
20CSE0023,Heather Torres,8.96,2,"['UI Design', 'Business Management', 'Cloud Engineer']","['ML Engineer', 'Chip Design', 'Chip Design']",3,5,480,Not Placed,None,80,76,15 LPA,126,Female,"['Python', 'C++', 'Database Management', 'Communication', 'Data Analysis']",3
20CSE0169,Caitlin Campbell,6.52,2,['ML Engineer'],"['Cloud Engineer', 'CSC Backend', 'Cloud Engineer']",3,8,227,Not Placed,None,97,74,40 LPA,130,Female,"['Database Management', 'Java', 'Data Analysis', 'Web Development', 'Python']",7
20ECE0315,Robert Cooper,7.22,6,"['ML/AI', 'Hardware Engineer', 'Hardware Engineer']","['CSC Frontend', 'System Design', 'ML Engineer', 'ML Engineer']",4,8,253,Not Placed,None,87,83,60 LPA,106,Male,"['Data Analysis', 'Web Development', 'Database Management', 'Machine Learning', 'C++']",10
20EEE0140,Katelyn Phillips,7.6,8,['Robotics'],"['System Design', 'ML Engineer']",2,7,324,Not Placed,None,73,79,40 LPA,110,Female,"['Python', 'C++', 'Web Development', 'Database Management', 'Communication']",1
20EEE0307,James Parker,9.52,3,['Robotics'],"['CSC Frontend', 'System Design', 'VLSI']",3,0,415,Not Placed,None,61,96,10 LPA,118,Male,"['Database Management', 'Communication']",8
20EEE0253,Andrew Jackson,7.59,1,"['ML Engineer', 'Hardware Engineer', 'ML Engineer']","['Chip Design', 'CSC Frontend', 'CSC Frontend']",3,9,397,Not Placed,None,65,81,50 LPA,114,Female,['Database Management'],7
20EEE0074,Jordan Simon,9.35,6,['Cloud Engineer'],['CSC Frontend'],1,1,153,Not Placed,None,79,62,15 LPA,132,Female,"['Data Analysis', 'Communication']",8
20EEE0103,Michael Carter,8.66,6,"['Hardware Engineer', 'Chip Design']","['Chip Design', 'VLSI', 'CSC Frontend', 'CSC Backend']",4,3,80,Placed,DREAM,86,100,15 LPA,110,Male,"['Machine Learning', 'Communication', 'C++']",4
20ECE0260,Lisa Cobb,8.07,9,['Hardware Engineer'],['ML Engineer'],1,1,149,Not Placed,None,67,95,20 LPA,104,Male,['Python'],2
20EEE0171,Aaron Cooper,6.82,4,"['Business Management', 'Business Management', 'Chip Design']",['Chip Design'],1,9,434,Placed,DREAM,69,69,60 LPA,93,Female,"['Java', 'Python', 'Machine Learning', 'C++']",7
20CSE0090,Carl Williams,7.01,4,['ML/AI'],"['VLSI', 'Chip Design', 'System Design', 'Chip Design']",4,0,266,Not Placed,None,85,71,80 LPA,93,Female,"['Web Development', 'C++', 'Database Management', 'Java', 'Communication']",9
20CSE0135,Rhonda Hernandez,6.04,7,['Business Management'],['ML Engineer'],1,9,324,Not Placed,None,74,73,50 LPA,81,Male,"['C++', 'Python']",5
20ECE0189,Robert Benton,6.34,3,"['Chip Design', 'Business Management', 'Business Management']","['System Design', 'CSC Backend']",2,5,498,Placed,DREAM,63,75,60 LPA,111,Male,"['Java', 'Database Management', 'Communication']",2
20EEE0142,Antonio Romero,9.16,5,"['ML Engineer', 'Robotics', 'Cloud Engineer']","['CSC Frontend', 'Chip Design', 'Cloud Engineer', 'System Design']",4,5,140,Not Placed,None,76,94,40 LPA,114,Female,"['Machine Learning', 'Web Development', 'Python']",1
20ECE0319,Brittany Rodriguez,9.25,7,['System Design'],['CSC Frontend'],1,5,369,Placed,SUPER DREAM,69,96,10 LPA,142,Male,"['Java', 'C++', 'Data Analysis', 'Communication']",10
20EEE0250,Anthony White,9.98,5,"['Cloud Engineer', 'UI Design', 'ML Engineer']",['Chip Design'],1,8,184,Placed,REGULAR,61,65,50 LPA,150,Male,['C++'],2
20ECE0028,Jeremy Mooney,8.98,5,['Cloud Engineer'],['ML Engineer'],1,2,404,Placed,DREAM,86,90,50 LPA,102,Female,"['Web Development', 'Data Analysis', 'Machine Learning', 'Database Management']",2
20CSE0292,Randall Smith,6.68,7,"['Hardware Engineer', 'ML/AI', 'System Design']",['ML Engineer'],1,8,38,Not Placed,None,66,69,30 LPA,101,Male,"['Machine Learning', 'Communication', 'Data Analysis']",10
20EEE0248,Donna Gibson,7.03,8,"['Software Engineer', 'System Design']","['ML Engineer', 'ML Engineer', 'VLSI', 'Cloud Engineer']",4,5,500,Placed,SUPER DREAM,100,91,1 CR LPA,120,Male,"['Communication', 'Web Development', 'C++', 'Data Analysis', 'Java']",1
20EEE0057,Sarah Fuentes,6.58,8,"['System Design', 'Cloud Engineer', 'System Design']","['ML Engineer', 'VLSI', 'Chip Design']",3,9,343,Not Placed,None,66,84,50 LPA,143,Male,"['Machine Learning', 'Database Management', 'Data Analysis']",4
20EEE0097,Joshua Fernandez,6.71,9,"['Hardware Engineer', 'System Design']","['CSC Backend', 'System Design']",2,8,348,Not Placed,None,70,83,90 LPA,149,Female,"['Database Management', 'Data Analysis', 'C++']",4
20EEE0188,Michael Davis,7.55,8,['Software Engineer'],['CSC Backend'],1,3,416,Not Placed,None,69,75,10 LPA,133,Female,['Machine Learning'],4
20ECE0027,Amanda Young,9.16,2,['ML Engineer'],"['CSC Backend', 'ML Engineer']",2,5,5,Placed,DREAM,90,89,1 CR LPA,101,Male,"['Communication', 'Web Development', 'Python', 'Java']",1
20CSE0082,Lindsey Potter,6.36,2,['Chip Design'],"['Chip Design', 'Cloud Engineer', 'CSC Backend', 'Chip Design']",4,3,360,Not Placed,None,62,89,90 LPA,132,Female,"['Machine Learning', 'Java', 'Data Analysis']",6
20CSE0286,Mr. Michael Andrews,7.17,8,"['ML/AI', 'Cloud Engineer']","['CSC Frontend', 'VLSI', 'Chip Design']",3,3,155,Not Placed,None,99,63,30 LPA,135,Female,"['Data Analysis', 'Database Management', 'C++']",8
20EEE0273,Karen Grant,6.17,4,"['Business Management', 'Robotics']",['CSC Frontend'],1,8,44,Placed,REGULAR,75,94,20 LPA,134,Female,['Database Management'],4
20ECE0191,Melissa Watts,6.15,2,['ML/AI'],"['System Design', 'CSC Frontend', 'System Design', 'CSC Backend']",4,1,30,Not Placed,None,63,68,40 LPA,100,Female,"['Communication', 'Java', 'Web Development', 'Database Management']",9
20EEE0181,Amy Nguyen,9.91,9,"['ML/AI', 'Business Management']",['ML Engineer'],1,3,71,Placed,REGULAR,62,83,90 LPA,132,Female,['Data Analysis'],6
20EEE0047,Rebecca Hamilton,8.3,7,['ML Engineer'],"['CSC Backend', 'Chip Design', 'ML Engineer', 'System Design']",4,2,255,Not Placed,None,74,81,40 LPA,110,Male,"['Database Management', 'Communication', 'Web Development', 'Machine Learning']",2
20CSE0182,Patricia Hendricks DVM,8.4,2,"['Hardware Engineer', 'System Design']",['CSC Frontend'],1,3,125,Not Placed,None,90,92,4 LPA,143,Female,"['Java', 'Machine Learning', 'Communication']",9
20EEE0197,Christina May,6.37,5,"['Cloud Engineer', 'Business Management']","['VLSI', 'CSC Frontend']",2,8,413,Not Placed,None,80,78,1 CR LPA,85,Female,"['Web Development', 'Java', 'Data Analysis']",3
20ECE0329,Gina Stephenson,6.49,1,"['Robotics', 'Cloud Engineer']","['VLSI', 'Cloud Engineer']",2,3,82,Not Placed,None,81,90,90 LPA,134,Female,"['Database Management', 'Web Development']",9
20CSE0238,Kristine Wheeler,8.82,8,"['Chip Design', 'UI Design', 'ML/AI']","['VLSI', 'ML Engineer', 'Chip Design']",3,5,55,Not Placed,None,82,100,30 LPA,110,Male,"['Java', 'Database Management', 'Python', 'Data Analysis', 'Machine Learning']",8
20CSE0103,Brandon Harrell,9.02,1,['System Design'],['CSC Backend'],1,0,12,Not Placed,None,94,76,80 LPA,144,Female,"['Machine Learning', 'Data Analysis', 'Database Management', 'C++']",5
20EEE0282,Victoria Morales,6.14,3,"['Robotics', 'System Design', 'ML Engineer']",['Chip Design'],1,4,102,Not Placed,None,74,78,30 LPA,84,Male,['Data Analysis'],8
20ECE0173,Misty Ryan,7.01,5,['Chip Design'],"['Chip Design', 'Chip Design']",2,3,166,Not Placed,None,71,66,80 LPA,99,Female,"['Java', 'Machine Learning']",5
20CSE0162,Maria Cohen,6.35,3,['Robotics'],"['Chip Design', 'CSC Frontend']",2,5,284,Placed,SUPER DREAM,84,91,6 LPA,108,Female,"['Machine Learning', 'Java']",4
20CSE0293,John Anthony,6.42,7,"['Cloud Engineer', 'UI Design']",['CSC Backend'],1,6,172,Not Placed,None,76,73,25 LPA,97,Male,"['Python', 'Java']",1
20ECE0154,Allen Keller,8.62,9,"['ML/AI', 'Chip Design', 'Business Management']","['CSC Frontend', 'Cloud Engineer']",2,4,223,Not Placed,None,71,97,30 LPA,116,Male,"['C++', 'Java']",10
20EEE0082,Brandon Chambers,9.03,5,"['Hardware Engineer', 'System Design']","['CSC Backend', 'ML Engineer']",2,5,474,Not Placed,None,99,80,60 LPA,126,Male,"['Web Development', 'Java']",10
20EEE0110,Kimberly Willis,9.36,3,"['Business Management', 'ML/AI', 'Hardware Engineer']","['Chip Design', 'System Design', 'Cloud Engineer']",3,0,27,Not Placed,None,99,69,70 LPA,136,Male,"['Data Analysis', 'Database Management']",8
20ECE0061,Chad Baker,6.11,2,['System Design'],['VLSI'],1,10,89,Placed,REGULAR,76,99,80 LPA,113,Male,"['Web Development', 'Java', 'Data Analysis', 'Communication', 'C++']",9
20EEE0245,Gloria Henderson,9.06,1,['Chip Design'],['Cloud Engineer'],1,5,6,Not Placed,None,76,92,15 LPA,147,Male,"['Web Development', 'Database Management', 'Machine Learning', 'Data Analysis']",9
20CSE0314,John Hamilton,6.31,9,"['Software Engineer', 'Chip Design']","['ML Engineer', 'Cloud Engineer', 'Cloud Engineer', 'Cloud Engineer']",4,5,499,Not Placed,None,68,79,60 LPA,96,Female,"['Data Analysis', 'C++', 'Java', 'Web Development']",1
20EEE0146,Kelli Hoffman,9.89,10,"['Business Management', 'Cloud Engineer']","['CSC Backend', 'System Design', 'VLSI', 'CSC Backend']",4,7,373,Not Placed,None,95,68,8 LPA,91,Female,"['Python', 'Web Development', 'Java']",3
20CSE0259,John Coleman,8.52,8,"['UI Design', 'Software Engineer']","['Cloud Engineer', 'System Design', 'CSC Backend']",3,0,79,Not Placed,None,60,74,4 LPA,82,Male,"['Database Management', 'Java', 'Communication']",10
20EEE0287,Jose Roberts,6.98,9,"['Business Management', 'Hardware Engineer', 'Business Management']","['Cloud Engineer', 'ML Engineer']",2,6,480,Not Placed,None,80,79,50 LPA,112,Female,"['Communication', 'Data Analysis', 'Web Development']",10
20EEE0050,Daniel Bender MD,7.46,9,"['Cloud Engineer', 'System Design', 'Robotics']","['ML Engineer', 'ML Engineer', 'ML Engineer']",3,3,237,Not Placed,None,81,69,20 LPA,88,Male,"['Data Analysis', 'Web Development', 'Python']",10
20EEE0238,Kristin Garrett,7.16,4,"['Software Engineer', 'Robotics', 'Robotics']","['Cloud Engineer', 'ML Engineer', 'Cloud Engineer']",3,9,236,Not Placed,None,61,82,1 CR LPA,97,Male,['Python'],5
20ECE0017,Theresa Reese,8.44,2,"['Software Engineer', 'UI Design', 'Chip Design']","['CSC Backend', 'CSC Frontend', 'VLSI', 'CSC Frontend']",4,4,18,Not Placed,None,80,87,80 LPA,92,Female,"['Python', 'Java', 'Communication', 'Web Development']",1
20ECE0268,Douglas Jensen,8.34,3,"['Robotics', 'ML/AI', 'ML/AI']","['Cloud Engineer', 'Chip Design', 'VLSI']",3,7,404,Placed,DREAM,69,60,30 LPA,95,Female,"['Java', 'C++', 'Web Development', 'Database Management']",8
20CSE0303,Isabel Graves,8.87,3,['Cloud Engineer'],['Chip Design'],1,0,307,Not Placed,None,71,88,25 LPA,127,Male,"['C++', 'Database Management', 'Web Development', 'Python']",4
20CSE0083,Stephanie Miller,7.67,3,"['Software Engineer', 'Robotics']",['Cloud Engineer'],1,1,210,Not Placed,None,85,75,20 LPA,120,Female,['Machine Learning'],7
20CSE0310,John Fisher,8.0,4,['ML/AI'],"['VLSI', 'System Design', 'Cloud Engineer', 'VLSI']",4,6,21,Placed,REGULAR,67,75,1 CR LPA,141,Male,"['C++', 'Python']",10
20ECE0040,Jennifer Johnson,9.76,5,['Cloud Engineer'],"['CSC Frontend', 'ML Engineer', 'Cloud Engineer']",3,5,91,Not Placed,None,96,78,4 LPA,148,Male,"['Python', 'Database Management', 'Java', 'C++']",5
20CSE0126,Jennifer White,6.79,5,"['ML Engineer', 'ML Engineer']","['ML Engineer', 'Chip Design', 'VLSI', 'Chip Design']",4,7,307,Placed,DREAM,87,89,10 LPA,133,Male,['Web Development'],10
20CSE0104,Sarah Harvey MD,8.71,5,"['Chip Design', 'Cloud Engineer']","['ML Engineer', 'CSC Backend']",2,0,60,Placed,SUPER DREAM,74,84,30 LPA,145,Female,"['Database Management', 'Web Development', 'Python']",2
20CSE0051,Brianna Mcdaniel,7.03,7,"['Cloud Engineer', 'ML Engineer']",['CSC Backend'],1,6,155,Placed,DREAM,66,63,70 LPA,123,Female,"['Database Management', 'C++']",2
20CSE0053,David Mccarthy,8.45,8,"['Robotics', 'Hardware Engineer']","['System Design', 'System Design', 'Chip Design']",3,5,157,Not Placed,None,99,75,80 LPA,88,Female,"['Machine Learning', 'Data Analysis', 'C++']",10
20EEE0292,Chad Ho,9.41,9,"['Robotics', 'Software Engineer', 'Cloud Engineer']","['Chip Design', 'VLSI', 'Chip Design', 'Chip Design']",4,5,98,Not Placed,None,71,76,40 LPA,128,Female,"['Machine Learning', 'Web Development']",3
20EEE0069,Matthew Johnson,9.75,3,['UI Design'],"['System Design', 'Cloud Engineer', 'System Design']",3,3,231,Not Placed,None,63,96,1 CR LPA,110,Female,"['Python', 'Database Management']",3
20ECE0078,Andrea Lee,8.13,10,['ML/AI'],['Chip Design'],1,4,265,Placed,DREAM,99,78,50 LPA,137,Female,"['Data Analysis', 'C++', 'Java', 'Machine Learning', 'Web Development']",6
20EEE0258,Ronald Gray,7.9,4,"['Business Management', 'Software Engineer']","['ML Engineer', 'CSC Backend']",2,8,104,Placed,REGULAR,89,80,90 LPA,109,Female,"['Machine Learning', 'Data Analysis', 'Database Management']",7
20ECE0151,Katherine Mata,6.95,2,"['System Design', 'ML/AI']","['CSC Backend', 'Chip Design', 'CSC Frontend']",3,6,136,Placed,REGULAR,85,95,10 LPA,137,Male,"['Java', 'Communication', 'Database Management', 'Data Analysis']",1
20CSE0112,Megan Shelton,7.71,6,"['Robotics', 'Software Engineer', 'Business Management']","['ML Engineer', 'VLSI', 'Cloud Engineer']",3,8,24,Not Placed,None,64,99,40 LPA,112,Female,"['Data Analysis', 'Java', 'Database Management']",3
20ECE0033,Brenda Turner,8.11,7,"['Business Management', 'Business Management']","['Chip Design', 'VLSI', 'CSC Frontend', 'CSC Backend']",4,9,320,Not Placed,None,91,63,1 CR LPA,121,Female,['Data Analysis'],3
20CSE0253,Steven Solomon,8.1,2,['System Design'],"['Chip Design', 'VLSI', 'Chip Design']",3,4,340,Not Placed,None,90,83,50 LPA,92,Female,"['C++', 'Data Analysis', 'Python']",3
20EEE0309,Luis Hutchinson,9.95,8,"['UI Design', 'Software Engineer', 'UI Design']","['CSC Frontend', 'VLSI', 'Chip Design']",3,9,74,Placed,DREAM,63,60,6 LPA,114,Female,['Communication'],7
20ECE0174,Adriana Evans,7.33,9,"['System Design', 'Business Management']",['Cloud Engineer'],1,0,372,Not Placed,None,81,70,60 LPA,85,Male,['C++'],3
20EEE0008,Charles Griffin,7.81,8,"['Business Management', 'ML/AI', 'ML Engineer']",['Chip Design'],1,6,491,Placed,DREAM,86,99,70 LPA,92,Male,"['Java', 'Data Analysis', 'Communication', 'Python', 'C++']",5
20EEE0325,Blake Anderson,7.3,2,"['ML/AI', 'Hardware Engineer', 'Business Management']","['CSC Backend', 'CSC Backend']",2,10,361,Not Placed,None,82,80,10 LPA,83,Female,"['Python', 'Java', 'Database Management', 'Web Development', 'Machine Learning']",10
20CSE0295,Alicia Bates,9.44,3,"['System Design', 'ML/AI']","['VLSI', 'CSC Backend', 'System Design', 'Cloud Engineer']",4,9,19,Not Placed,None,93,82,6 LPA,106,Male,"['C++', 'Web Development']",8
20CSE0256,James Maxwell,7.48,1,['Software Engineer'],['Chip Design'],1,9,43,Placed,SUPER DREAM,85,91,50 LPA,99,Female,"['Java', 'Communication', 'Web Development', 'Database Management', 'C++']",2
20CSE0224,Richard Brady,7.39,1,"['Software Engineer', 'Robotics', 'UI Design']",['VLSI'],1,1,169,Not Placed,None,62,61,80 LPA,101,Female,"['Machine Learning', 'C++', 'Data Analysis', 'Database Management', 'Java']",10
20EEE0041,Michael Soto,8.52,5,"['ML/AI', 'Hardware Engineer']","['ML Engineer', 'ML Engineer', 'ML Engineer']",3,0,456,Placed,REGULAR,84,96,6 LPA,145,Male,"['Java', 'Data Analysis', 'Python']",9
20ECE0227,Bryce Mitchell,6.89,10,"['System Design', 'Software Engineer', 'Hardware Engineer']","['CSC Backend', 'System Design']",2,0,324,Not Placed,None,62,85,90 LPA,114,Male,['Database Management'],8
20ECE0083,Scott Molina,6.79,10,['UI Design'],"['CSC Backend', 'ML Engineer']",2,9,228,Not Placed,None,68,80,6 LPA,143,Male,"['Java', 'Python', 'Database Management', 'Machine Learning']",10
20CSE0212,David Jacobs,8.93,2,"['Hardware Engineer', 'ML Engineer', 'Chip Design']",['Cloud Engineer'],1,0,85,Not Placed,None,89,84,60 LPA,115,Male,"['Machine Learning', 'Communication', 'C++', 'Database Management', 'Python']",8
20CSE0323,Stanley Gilmore,7.17,3,"['UI Design', 'Robotics']",['CSC Backend'],1,2,385,Not Placed,None,97,80,50 LPA,118,Female,"['Machine Learning', 'Java', 'Database Management', 'C++']",1
20CSE0234,Mason Gutierrez,7.86,7,"['ML/AI', 'Chip Design', 'Robotics']","['Cloud Engineer', 'ML Engineer']",2,10,129,Not Placed,None,90,71,1 CR LPA,103,Female,['Web Development'],9
20ECE0137,Rebecca Avila,6.1,10,"['Chip Design', 'ML Engineer']","['ML Engineer', 'Chip Design', 'CSC Frontend']",3,9,255,Not Placed,None,63,93,6 LPA,114,Female,"['Communication', 'Machine Learning']",2
20ECE0073,Michael Moore,8.65,4,"['Chip Design', 'Software Engineer', 'Software Engineer']","['System Design', 'Cloud Engineer', 'VLSI']",3,9,407,Placed,DREAM,76,79,90 LPA,86,Female,"['Java', 'Python']",7
20ECE0280,Jacob Browning,7.06,2,"['Hardware Engineer', 'Cloud Engineer', 'Software Engineer']","['ML Engineer', 'CSC Backend']",2,3,419,Placed,SUPER DREAM,93,68,20 LPA,139,Female,"['Java', 'Web Development', 'Database Management', 'Data Analysis', 'Python']",8
20EEE0093,John Martin,9.9,7,"['Business Management', 'Hardware Engineer']","['Chip Design', 'VLSI', 'Chip Design', 'Chip Design']",4,6,321,Placed,DREAM,84,89,4 LPA,109,Male,"['Python', 'Data Analysis', 'Communication', 'Machine Learning']",3
20ECE0210,Laura Murillo,8.08,9,"['Software Engineer', 'Chip Design']",['VLSI'],1,7,251,Not Placed,None,61,98,15 LPA,145,Male,"['Python', 'C++', 'Web Development']",5
20EEE0133,Robert Sherman,6.74,1,['ML/AI'],"['CSC Frontend', 'VLSI', 'Chip Design', 'CSC Backend']",4,4,461,Placed,SUPER DREAM,81,88,4 LPA,125,Male,['Web Development'],6
20CSE0004,Jennifer Munoz,7.66,6,['UI Design'],['ML Engineer'],1,1,231,Not Placed,None,72,86,80 LPA,135,Male,"['Communication', 'Python', 'Data Analysis', 'Database Management']",10
20EEE0293,Brandon Schwartz,8.21,3,['ML Engineer'],"['System Design', 'CSC Backend']",2,4,459,Not Placed,None,82,76,40 LPA,108,Female,"['Database Management', 'Web Development']",9
20CSE0246,Bailey Brown,6.97,2,['Hardware Engineer'],"['Cloud Engineer', 'Chip Design', 'CSC Backend', 'Cloud Engineer']",4,1,387,Placed,REGULAR,84,91,80 LPA,95,Male,"['Python', 'Communication', 'C++']",8
20ECE0086,David Smith,8.78,8,['UI Design'],"['System Design', 'ML Engineer', 'System Design', 'Cloud Engineer']",4,6,454,Not Placed,None,98,69,15 LPA,86,Male,"['Web Development', 'Data Analysis', 'Machine Learning']",9
20CSE0124,Brian Robles,9.24,10,['Software Engineer'],"['System Design', 'CSC Backend']",2,7,211,Not Placed,None,66,83,10 LPA,106,Female,"['Data Analysis', 'Machine Learning', 'C++', 'Database Management', 'Python']",5
20ECE0208,Brenda Knapp,8.08,6,['Robotics'],['CSC Backend'],1,1,322,Placed,DREAM,91,63,50 LPA,83,Male,"['Data Analysis', 'Java']",3
20EEE0089,Mason White,6.99,8,"['Cloud Engineer', 'ML/AI', 'Chip Design']",['VLSI'],1,10,162,Placed,SUPER DREAM,90,63,50 LPA,110,Female,"['Java', 'Python', 'Database Management', 'C++']",1
20ECE0285,Kathryn Roberts,6.61,6,"['System Design', 'ML Engineer']","['Chip Design', 'CSC Backend', 'CSC Backend']",3,8,123,Not Placed,None,77,100,1 CR LPA,149,Male,"['Machine Learning', 'Python', 'Web Development']",6
20ECE0004,Kevin Tucker,6.55,3,['Chip Design'],"['System Design', 'System Design', 'VLSI', 'System Design']",4,2,65,Not Placed,None,86,83,25 LPA,129,Female,"['Web Development', 'C++', 'Java', 'Data Analysis', 'Communication']",4
20ECE0230,Patrick Hays,7.59,1,['Hardware Engineer'],"['System Design', 'CSC Backend']",2,9,211,Not Placed,None,82,75,8 LPA,83,Female,"['Communication', 'Database Management']",6
20EEE0059,Bruce Serrano,8.51,1,"['System Design', 'ML Engineer', 'Robotics']","['VLSI', 'Chip Design']",2,5,298,Not Placed,None,93,97,1 CR LPA,95,Female,"['Machine Learning', 'Data Analysis', 'Web Development', 'Python', 'Communication']",8
20CSE0186,Heather Mcdonald MD,7.95,6,"['Chip Design', 'Cloud Engineer', 'Software Engineer']","['Chip Design', 'CSC Frontend', 'Cloud Engineer']",3,0,264,Not Placed,None,99,97,20 LPA,150,Male,['Data Analysis'],3
20EEE0145,Trevor Cooper,6.42,7,"['ML/AI', 'Cloud Engineer', 'UI Design']","['CSC Frontend', 'CSC Backend']",2,10,295,Not Placed,None,87,92,40 LPA,94,Male,"['Machine Learning', 'Python', 'Database Management', 'Java', 'Communication']",1
20EEE0232,Dr. Craig Meyer,7.94,6,"['Business Management', 'Hardware Engineer', 'ML Engineer']","['ML Engineer', 'Cloud Engineer']",2,8,42,Not Placed,None,68,79,8 LPA,146,Male,"['Web Development', 'C++']",1
20ECE0226,Rebecca Harris,8.65,7,['Robotics'],"['System Design', 'Chip Design', 'Chip Design']",3,0,201,Placed,REGULAR,84,63,50 LPA,137,Female,"['Database Management', 'C++', 'Web Development']",2
20ECE0043,Christopher Jones,9.72,5,"['Robotics', 'Robotics', 'ML/AI']","['Chip Design', 'CSC Frontend', 'ML Engineer']",3,5,146,Not Placed,None,86,92,30 LPA,106,Male,"['Data Analysis', 'Java']",2
20ECE0134,Ronald Smith,7.76,1,"['Chip Design', 'ML Engineer']",['CSC Frontend'],1,8,297,Not Placed,None,66,86,8 LPA,114,Male,"['Communication', 'Python', 'Database Management', 'Web Development', 'C++']",4
20CSE0151,Ryan Campbell,6.71,3,"['UI Design', 'Business Management', 'Business Management']",['ML Engineer'],1,1,18,Placed,SUPER DREAM,85,93,90 LPA,88,Male,"['Communication', 'Machine Learning']",1
20EEE0154,Antonio Fowler,7.75,9,"['Cloud Engineer', 'ML/AI', 'Software Engineer']",['Cloud Engineer'],1,4,242,Placed,SUPER DREAM,89,87,60 LPA,127,Male,"['Java', 'Machine Learning', 'Python', 'Data Analysis']",9
20CSE0297,Jeffrey Gonzalez,9.76,10,"['Hardware Engineer', 'Software Engineer', 'UI Design']","['Chip Design', 'ML Engineer', 'VLSI', 'CSC Frontend']",4,5,246,Not Placed,None,80,68,50 LPA,149,Male,"['Python', 'C++']",6
20EEE0252,Jonathan Shelton,9.24,10,['Business Management'],"['ML Engineer', 'CSC Backend', 'Chip Design']",3,10,263,Placed,REGULAR,62,70,30 LPA,94,Male,"['Communication', 'Database Management', 'Python', 'C++', 'Java']",2
20ECE0155,Jason Torres,6.05,9,['Robotics'],"['Cloud Engineer', 'CSC Frontend']",2,4,58,Placed,SUPER DREAM,91,98,40 LPA,111,Male,['Python'],2
20EEE0249,Ivan Murphy,8.49,4,"['Robotics', 'Software Engineer', 'Cloud Engineer']",['CSC Frontend'],1,3,318,Not Placed,None,83,66,4 LPA,146,Male,"['Communication', 'Python', 'Machine Learning']",6
20ECE0204,Joseph Miller,6.11,2,"['Chip Design', 'UI Design']","['Chip Design', 'System Design']",2,3,463,Not Placed,None,81,74,15 LPA,87,Female,['Machine Learning'],10
20EEE0302,Justin Gill,7.4,8,['Robotics'],"['ML Engineer', 'CSC Backend', 'CSC Backend']",3,7,251,Placed,DREAM,86,91,8 LPA,101,Male,"['C++', 'Database Management', 'Web Development', 'Python', 'Machine Learning']",9
20EEE0201,Autumn Braun,7.48,8,"['ML/AI', 'Hardware Engineer', 'ML Engineer']","['VLSI', 'CSC Frontend', 'VLSI']",3,10,192,Placed,DREAM,72,89,10 LPA,139,Male,"['Machine Learning', 'Python', 'Web Development', 'Data Analysis']",8
20ECE0129,John Rollins,7.09,5,"['System Design', 'ML/AI', 'Robotics']",['Cloud Engineer'],1,7,368,Not Placed,None,70,78,70 LPA,140,Female,"['Machine Learning', 'Communication', 'Python']",8
20CSE0174,Carla English,9.55,7,"['System Design', 'System Design']",['CSC Backend'],1,2,327,Not Placed,None,79,61,25 LPA,93,Male,"['C++', 'Communication', 'Web Development']",3
20ECE0237,Linda Perkins,6.24,10,"['Robotics', 'System Design', 'System Design']","['CSC Frontend', 'CSC Frontend', 'Cloud Engineer']",3,1,364,Not Placed,None,68,99,90 LPA,123,Female,"['Java', 'Python', 'Web Development', 'Communication', 'C++']",7
20EEE0032,Jerome Christian,6.3,2,"['Chip Design', 'Hardware Engineer', 'Robotics']","['ML Engineer', 'VLSI', 'System Design']",3,8,379,Not Placed,None,72,85,50 LPA,82,Female,"['Java', 'Python', 'Web Development']",9
20EEE0153,Joshua Prince,8.22,10,"['ML Engineer', 'ML Engineer']",['VLSI'],1,4,122,Not Placed,None,96,83,1 CR LPA,90,Male,"['Machine Learning', 'Java']",5
20CSE0098,Heidi Velasquez,6.33,1,"['ML Engineer', 'UI Design', 'ML/AI']","['Chip Design', 'CSC Backend', 'CSC Frontend']",3,10,212,Not Placed,None,91,63,1 CR LPA,93,Female,"['Java', 'Data Analysis']",1
20EEE0179,Christine Fitzgerald,8.16,3,"['Robotics', 'Business Management', 'Hardware Engineer']",['Chip Design'],1,6,63,Not Placed,None,73,75,40 LPA,101,Female,"['Database Management', 'Machine Learning', 'Python', 'Web Development']",4
20EEE0127,Rhonda Jackson,7.81,7,"['Robotics', 'UI Design']","['ML Engineer', 'CSC Frontend', 'ML Engineer']",3,4,391,Placed,REGULAR,97,88,60 LPA,93,Male,"['Data Analysis', 'Machine Learning', 'Python']",4
20CSE0084,Monique Gallegos,9.65,1,['Software Engineer'],"['Cloud Engineer', 'ML Engineer', 'VLSI', 'System Design']",4,3,125,Placed,DREAM,88,89,6 LPA,132,Male,"['C++', 'Web Development']",8
